Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Age,Average Salary,Age Categories,Income Categories
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,55,53310,Senior,Middle Income
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,61,112870,Senior,High Income
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,30,110376,Young ,High Income
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,26,115492,Young ,High Income
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,27,104019,Young ,High Income
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,29,47859,Young ,Low Income
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,23,114319,Young ,High Income
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,33,88133,Adult,Middle Income
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,18,74882,Young ,Middle Income
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,34,92890,Adult,High Income
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,19,70811,Young ,Middle Income
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,30,51614,Young ,Middle Income
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,25,113641,Young ,High Income
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,63,44798,Senior,Low Income
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,24,43727,Young ,Low Income
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,43,59629,Adult,Middle Income
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,38,67115,Adult,Middle Income
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,55,99780,Senior,High Income
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,36,62018,Adult,Middle Income
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,38,67482,Adult,Middle Income
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,29,117144,Young ,High Income
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,60,49219,Senior,Low Income
PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,46,49239,Adult,Low Income
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,47,80733,Adult,Middle Income
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,32,82613,Adult,Middle Income
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,22,42808,Young ,Low Income
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,41,79825,Adult,Middle Income
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,41,38478,Adult,Low Income
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,59,59108,Senior,Middle Income
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,48,45461,Adult,Low Income
KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,50,83238,Adult,Middle Income
HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,40,68582,Adult,Middle Income
TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,31,91825,Adult,High Income
JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,59,78167,Senior,Middle Income
KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,27,95541,Young ,High Income
JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,25,114682,Young ,High Income
SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,40,95661,Adult,High Income
DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,19,51164,Young ,Middle Income
JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,18,116716,Young ,High Income
CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,35,46551,Adult,Low Income
PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,26,90053,Young ,High Income
PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,42,93002,Adult,High Income
GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,31,58961,Adult,Middle Income
JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,60,106527,Senior,High Income
KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,26,44535,Young ,Low Income
RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,48,77501,Adult,Middle Income
PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,25,66986,Young ,Middle Income
KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,21,52310,Young ,Middle Income
ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,24,39724,Young ,Low Income
RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,39,113975,Adult,High Income
GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,21,85420,Young ,Middle Income
LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,22,107830,Young ,High Income
